Id,Category
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,2
15,1
16,1
17,1
18,1
19,1
20,1
21,2
22,1
23,1
24,2
25,1
26,0
27,1
28,1
29,0
30,1
31,1
32,2
33,1
34,1
35,1
36,1
37,1
38,2
39,0
40,1
41,1
42,1
43,2
44,0
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,2
55,2
56,2
57,0
58,0
59,1
60,1
61,1
62,2
63,1
64,1
65,2
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,2
78,1
79,1
80,2
81,1
82,2
83,1
84,2
85,1
86,1
87,2
88,1
89,2
90,1
91,1
92,1
93,1
94,1
95,0
96,1
97,2
98,1
99,1
100,2
101,1
102,1
103,2
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,2
116,1
117,1
118,1
119,1
120,0
121,0
122,1
123,2
124,1
125,1
126,0
127,2
128,1
129,1
130,2
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,1
139,2
140,2
141,1
142,1
143,2
144,1
145,2
146,1
147,1
148,0
149,1
150,2
151,2
152,0
153,1
154,2
155,1
156,1
157,2
158,1
159,1
160,1
161,1
162,1
163,1
164,2
165,1
166,2
167,1
168,1
169,1
170,1
171,1
172,2
173,0
174,0
175,1
176,2
177,0
178,1
179,1
180,2
181,1
182,0
183,1
184,1
185,1
186,1
187,2
188,0
189,2
190,1
191,1
192,1
193,2
194,2
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,1
203,1
204,1
205,2
206,1
207,1
208,0
209,2
210,0
211,1
212,2
213,1
214,1
215,2
216,0
217,2
218,2
219,1
220,2
221,2
222,2
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,2
239,1
240,1
241,2
242,0
243,1
244,1
245,1
246,2
247,1
248,1
249,2
250,0
251,2
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,2
261,2
262,0
263,1
264,1
265,2
266,0
267,2
268,1
269,1
270,1
271,0
272,0
273,1
274,0
275,2
276,1
277,1
278,1
279,1
280,1
